file,language,start_ms,end_ms,dur_ms
GH006,Twi,97526,101491,3965
GH006,English,101491,102258,767
GH006,Twi,102258,105198,2940
GH006,English,105198,106112,914
GH006,Twi,106447,107902,1455
GH006,English,107902,108511,609
GH006,Twi,108511,108858,347
GH006,Twi,109347,113577,4230
GH006,English,113577,118543,4966
GH006,Twi,118543,120256,1713
GH006,Twi,121066,121399,333
GH006,English,121399,122335,936
GH006,Twi,122335,122342,7
GH006,Twi,122934,123614,680
GH006,English,123614,124125,511
GH006,Twi,124125,124199,74
GH006,English,124199,125433,1234
GH006,Twi,125433,126976,1543
GH006,English,126976,127377,401
GH006,Twi,127815,128120,305
GH006,English,128120,128623,503
GH006,Twi,128623,129613,990
GH006,Twi,130225,131618,1393
GH006,Twi,132140,132326,186
GH006,English,132326,132811,485
GH006,Twi,132811,134623,1812
GH006,Twi,135130,135589,459
GH006,English,135589,136433,844
GH006,Twi,136433,140668,4235
GH006,English,140668,141253,585
GH006,Twi,141253,142002,749
GH006,English,142362,143047,685
GH006,Twi,143047,145858,2811
GH006,English,145858,146248,390
GH006,Twi,146248,147767,1519
GH006,English,147767,148440,673
GH006,Twi,148440,149425,985
GH006,Twi,149942,150876,934
GH006,Twi,151285,151677,392
GH006,English,151677,152236,559
GH006,Twi,152236,153612,1376
GH006,Twi,154152,154893,741
GH006,Twi,155386,156106,720
GH006,English,156106,157000,894
GH006,Twi,157000,158692,1692
GH006,English,158692,159066,374
GH006,Twi,159066,159214,148
GH006,Twi,159753,160186,433
GH006,English,160186,161314,1128
GH006,Twi,161314,161746,432
GH006,Twi,162361,163688,1327
GH006,Twi,164305,164841,536
GH006,Twi,165327,165440,113
GH006,English,165440,166701,1261
GH006,Twi,167054,167315,261
GH006,English,167315,168423,1108
GH006,Twi,168423,168795,372
GH006,English,168795,169425,630
GH006,Twi,169425,169735,310
GH006,English,169735,170763,1028
GH006,Twi,170763,171937,1174
GH006,Twi,172408,173271,863
GH006,Twi,174632,174950,318
GH007,Twi,50,3009,2959
GH007,Twi,3519,8296,4777
GH007,Twi,8835,15260,6425
GH007,English,15260,15624,364
GH007,Twi,15624,16998,1374
GH007,English,16998,17673,675
GH007,Twi,17673,19010,1337
GH007,English,19010,19500,490
GH007,Twi,19500,20077,577
GH007,English,20077,20859,782
GH007,Twi,21207,22255,1048
GH007,Twi,22660,24035,1375
GH007,Twi,24700,26963,2263
GH007,Twi,27525,28427,902
GH007,Twi,29131,35111,5980
GH007,Twi,35600,37930,2330
GH007,English,38519,41530,3011
GH007,Twi,41530,42149,619
GH007,Twi,42712,44446,1734
GH007,Twi,45031,45401,370
GH007,Twi,46023,49474,3451
GH007,Twi,49926,56588,6662
GH007,English,56658,58600,1942
GH007,Twi,58600,60009,1409
GH007,English,60600,61332,732
GH007,Twi,61332,62526,1194
GH007,English,62526,62970,444
GH007,Twi,62970,65122,2152
GH007,Twi,65960,66020,60
GH007,English,66020,66730,710
GH007,Twi,66730,67306,576
GH007,Twi,68338,68913,575
GH007,Twi,69684,70949,1265
GH007,English,70949,71426,477
GH007,Twi,71426,71626,200
GH007,Twi,72203,73137,934
GH007,English,73137,73767,630
GH007,Twi,73767,74194,427
GH007,Twi,74823,75827,1004
GH007,Twi,76381,77270,889
GH007,Twi,77858,80200,2342
GH007,Twi,81282,82424,1142
GH007,Twi,82854,83545,691
GH007,Twi,84089,84590,501
GH007,Twi,85236,86364,1128
GH007,Twi,86800,88341,1541
GH007,Twi,89006,89279,273
GH007,Twi,89802,92448,2646
GH007,Twi,92971,93979,1008
GH007,English,93979,94320,341
GH007,Twi,94320,95928,1608
GH007,English,95928,97728,1800
GH007,Twi,98037,98513,476
GH007,Twi,99182,100260,1078
GH007,Twi,100911,101236,325
GH007,Twi,101861,102246,385
GH007,Twi,103058,104088,1030
GH007,Twi,104609,106784,2175
GH007,English,108070,108819,749
GH007,Twi,108819,108904,85
GH007,Twi,109733,110250,517
GH007,English,110250,110510,260
