file,gesture_id,gesture_time_ms,gesture_type,pitch_time_ms,pitch_hz,time_diff_ms
GH008,a11,54550,beat,54612,149.29032149360873,-62
GH008,a12,57720,beat,57722,172.6363169896047,-2
GH008,a13,58682,beat,58832,219.04609991599412,-150
GH008,a14,61810,beat,61822,170.24983598861988,-12
GH008,a15,65119,beat,65082,146.5979354022871,37
GH008,a16,70665,beat,70692,227.00940406671506,-27
GH008,a17,77375,iconic,77342,176.69497868162787,33
GH008,a18,85516,beat,85512,209.41878173127125,4
GH008,a19,88594,beat,88592,280.4210452019358,2
GH008,a20,91107,beat,91112,215.05572154865285,-5
GH008,a21,92929,beat,92932,289.6524877637665,-3
GH008,a22,96884,beat,96832,210.5474150455728,52
GH008,a23,100770,beat,100612,202.27844146199445,158
GH008,a24,104110,beat,104222,246.76925825263044,-112
GH008,a25,108224,beat,108232,220.6263237434073,-8
GH008,a26,110130,deictic,110112,162.41529991314465,18
GH008,a27,112410,beat,112512,181.2525547474115,-102
GH008,a28,137001,iconic,137042,223.48925861948018,-41
GH008,a29,146951,beat,146942,173.61926845280544,9
GH008,a30,159510,iconic,159482,254.43628807274055,28
GH008,a31,163425,iconic,163492,298.8282429382895,-67
GH008,a32,165522,beat,165522,250.48284618934778,0
GH008,a33,176829,beat,176902,242.96957012817148,-73
GH008,a34,179075,beat,179102,248.25583524671902,-27
GH008,a35,183935,beat,184282,190.85579725036354,-347
GH008,a36,210576,deictic,210532,297.35011168668103,44
GH008,a37,213158,deictic,213202,204.20039935431586,-44
GH008,a38,215876,iconic,215842,280.5405351184048,34
GH008,a39,218400,beat,218582,241.60833652297725,-182
GH008,a40,220503,beat,220842,271.55789250679663,-339
GH008,a41,225198,beat,225202,242.04424657436715,-4
GH008,a42,227433,beat,227412,205.5902803388713,21
GH008,a43,237388,iconic,237322,193.44820278432985,66
GH008,a44,252050,beat,252042,164.64994848847124,8
GH008,a45,257028,beat,257132,162.9963749249816,-104
GH008,a46,259648,beat,259712,135.5919372306263,-64
GH008,a47,262458,beat,262452,171.70599143913432,6
GH008,a48,269250,beat,269382,295.75509621548173,-132
GH008,a49,271329,beat,271172,181.1325008510925,157
GH008,a50,273750,iconic,273712,233.66267441928593,38
GH008,a51,275226,beat,275232,192.30994068532416,-6
GH008,a52,277022,beat,277562,242.1945176492076,-540
GH008,a53,278680,beat,278702,179.7316681931393,-22
GH008,a54,282408,beat,282422,266.50463114056754,-14
GH008,a55,286679,beat,286922,212.94704076366074,-243
GH008,a56,287515,deictic,287562,218.08479059483284,-47
GH008,a57,290319,beat,290342,231.35567472625763,-23
GH008,a58,293580,deictic,293572,155.45737355808333,8
