file,switch_time_ms,direction
GH010,201760,English_to_Twi
GH010,205737,Twi_to_English
GH010,206947,English_to_Twi
GH010,210270,Twi_to_English
GH010,213310,English_to_Twi
GH010,213915,Twi_to_English
GH010,214750,English_to_Twi
GH010,215806,Twi_to_English
GH010,217622,English_to_Twi
GH010,218643,Twi_to_English
GH010,221613,English_to_Twi
GH010,224082,Twi_to_English
GH010,224680,English_to_Twi
GH010,225540,Twi_to_English
GH010,226180,English_to_Twi
GH010,230005,Twi_to_English
GH010,230670,English_to_Twi
GH010,246480,Twi_to_English
GH010,251342,English_to_Twi
GH010,251378,Twi_to_English
GH010,260114,English_to_Twi
GH010,265570,Twi_to_English
GH010,268640,English_to_Twi
GH010,275489,Twi_to_English
GH010,275822,English_to_Twi
GH010,284307,Twi_to_English
GH010,288922,English_to_Twi
GH010,289218,Twi_to_English
GH010,290560,English_to_Twi
GH010,301625,Twi_to_English
GH010,307812,English_to_Twi
GH010,309420,Twi_to_English
GH010,314180,English_to_Twi
GH010,318728,Twi_to_English
GH010,319527,English_to_Twi
GH010,322214,Twi_to_English
GH010,331980,English_to_Twi
GH010,334085,Twi_to_English
GH010,337452,English_to_Twi
GH010,339210,Twi_to_English
GH010,346391,English_to_Twi
GH010,347555,Twi_to_English
GH010,348063,English_to_Twi
GH010,352371,Twi_to_English
GH010,358554,English_to_Twi
GH010,361028,Twi_to_English
GH010,362489,English_to_Twi
GH010,363939,Twi_to_English
GH010,365407,English_to_Twi
GH010,372406,Twi_to_English
GH010,374649,English_to_Twi
GH010,378330,Twi_to_English
GH010,382486,English_to_Twi
GH010,384211,Twi_to_English
GH010,384687,English_to_Twi
GH010,384691,Twi_to_English
GH010,385084,English_to_Twi
GH010,385951,Twi_to_English
GH010,387358,English_to_Twi
GH010,393786,Twi_to_English
GH010,397899,English_to_Twi
GH010,399373,Twi_to_English
GH010,400003,English_to_Twi
GH010,400026,Twi_to_English
GH010,400816,English_to_Twi
GH010,401176,Twi_to_English
GH010,407478,English_to_Twi
GH010,413271,Twi_to_English
GH010,418099,English_to_Twi
GH010,418394,Twi_to_English
GH010,418730,English_to_Twi
GH010,426239,Twi_to_English
GH010,431020,English_to_Twi
GH010,434409,Twi_to_English
GH010,435703,English_to_Twi
GH010,438082,Twi_to_English
GH010,440491,English_to_Twi
GH010,441176,Twi_to_English
